signe plus (page does not exist),
signer,v
signet,n
significatif,adj
signification,n
significativement,adv
signifie,v
signifier,v
Sigolène,proper
sikhisme,n
s'il plaît à Dieu (page does not exist),
s'il te plaît,
s'il vous plaît,phrase
silage,
silence,n
silence de mort (page does not exist),
silence, moteur, action,
silence, moteur, action !,phrase
silencieuse,
silencieusement,adv
silencieux,adj n
silencieux d'échappement (page does not exist),
Silésie,proper
Silésien (page does not exist),
silésien,adj
silex,n
silhouette,n
silicate,
silice,n
silicium,n
siliciure,
silicochloroforme (page does not exist),
Silicon Valley,
silicone,
silicose,n
sillage,n
sillon,n
sillon fessier (page does not exist),
sillon glutéal (page does not exist),
sillon interfessier (page does not exist),
sillon naso-labial (page does not exist),
sillonné,
sillonner,v
silo,n
silo de missile (page does not exist),
s'ils,contraction
silure,n
silure glane,n
siluridé,n
siluridés,n
Silvain,proper
simagrée,n
Siméon,proper
Simferopol,
simien,
simienne,
similaire,adj
similarité,n
similigravure (page does not exist),
similitude,n
s’immiscer,
simmogramme (page does not exist),
Simon,proper
Simone,proper
Simonet,proper
simonie,n
Simonne,proper
simoun,
simple,adj n
simple comme bonjour,adj
simple député (page does not exist),
simplement,adv
simplement pair (page does not exist),
simplet,adj
simplicité,n
simplificateur,
simplification,
simplifier,v
simplisme (page does not exist),
simplissime,adj
simpliste,
simulacre,n
simulateur,n
simulateur de foule,n
simulation,n
simuler,v
simultané,adj
simultanéité,
simultanément,adv
Sinaï,proper
sinanthrope,n
sincère,adj
sincèrement,adv
sincères salutations (page does not exist),
sincérité,n
s'incliner (page does not exist),
s’incruster (page does not exist),
sindhi,adj n
s'indigner (page does not exist),
sindonologie,n
sinécure,n
s'infiltrer (page does not exist),
Singapour,proper
singapourien,
Singapourien,
Singapourienne (page does not exist),
singe,n
singe anthropoïde (page does not exist),
singer,v
singerie,n
singleton,
singularité,n
singulatif,n
singulier,adj
singulière,
singulièrement,adv
sinisation,n
siniser,v
sinistre,adj n
sinistré,adj n
sinistrement,
sinitique (page does not exist),
sino-,prefix
sinogramme,n
sinologie,
sinologue,
sinon,conj
sinophile,
sinophobie (page does not exist),
sinophone,
sinople,n
sinoque,adj
sinotibétain,adj
s'inquiéter (page does not exist),
s'inscrire,
s'insinuer (page does not exist),
s'installer (page does not exist),
s'interposer (page does not exist),
sinuer,
sinueux,
sinuosité,n
sinus,n
sinus hyperbolique (page does not exist),
sinus paranasal (page does not exist),
sinusite,n
Sion,proper
sionisme,n
sioniste,adj n
siphon,
siphonner,v
sire,n
sirène,n
sirénien,n
Sirius,
sirop,n
sirop de poteau (page does not exist),
sirop d'érable (page does not exist),
siropeux,adj
siroter,v
siroteur (page does not exist),
siroteuse (page does not exist),
sis,adj
sismique,adj
sismogramme,n
sismographe,n
sismologie,n
sister-ship (page does not exist),
sistre,
Sisyphe (page does not exist),
sisyphien,adj
sit-in,n
sitar,
sitatunga,
sitcom,
site,n
site Internet (page does not exist),
site Web,
sitôt,adv
sitôt que,conj
sittelle,n
situation,
situation intéressante,n
situer,v
six,n
six-chiens (page does not exist),
six heures (page does not exist),
sixième,adj n
sixième sens,n
sixièmement,adv
skaï,n
skate,
skateboard,n
skatepark,n
skater,v
skateur,n
skateuse,
skeletoneur,n
sketch,n
ski,n
ski acrobatique,n
ski alpin,n
ski-bob (page does not exist),
ski de fond,n
Ski-Doo (page does not exist),
Ski-doo (page does not exist),
Ski doo (page does not exist),
Ski Doo (page does not exist),
ski évolutif (page does not exist),
ski nautique,n
ski nordique,n
skiabilité (page does not exist),
skiable,
Skidoo,n
SkiDoo (page does not exist),
skier,v
skieur,n
skieur alpin (page does not exist),
skieur nordique (page does not exist),
skieuse,n
skieuse alpin (page does not exist),
skieuse nordique (page does not exist),
skiff,
skinhead,
Skopje,proper
Skoplje,
SLA,
slalom,n
slalomer,v
slalomeur,n
slalomeuse,
slam,n
slang,n
slasher,
slave,adj n
Slave,n
slave méridional (page does not exist),
slave occidental (page does not exist),
slave oriental (page does not exist),
slavisant,adj n
slaviser,v
slavisme,n
slaviste,n
slavistique (page does not exist),
slavon,adj n
Slavon,
Slavonie,
slavophile,adj n
slavophilie,n
slavophilisme,n
slip,n
slip de bain (page does not exist),
slogan,n
sloop,
sloughi,n
Slovaque,n
slovaque,n adj
Slovaquie,proper
Slovène,n
slovène,n adj
Slovénie,proper
slow,n
slt,abbr
s'lut,int
S.M. (page does not exist),
SM,
smala,n
smaragdin,
smartphone,
smash,
smasher,v
smectique,adj
smegma,n
S.M.I. (page does not exist),
SMI (page does not exist),
SMIC,acronym
smicard,n
smithereens,
smog,
smoked meat,n
smoking,n
Smolensk,
SMS,init
smurf,n
smurfer,v
smynthure (page does not exist),
SNCF,init
snistre (page does not exist),
SNLE,n
snob,adj n
snober,v
snobinard,adj n
snobisme,n
snobissime,adj
snooker,n
snowboard,n
snowboardeur,n
snowboardeuse,
snuff,
de son chef (page does not exist),
de sortie (page does not exist),
la Sonore (page does not exist),
le Sonora (page does not exist),
le sort en est jeté,n
SO,init
soap,n
soap opera,
soba,
sobre,adj
sobrement,adv
sobriété,n
sobriquet,n
s'obscurcir,
soc,n
soccer,
s'occuper de ses affaires (page does not exist),
Sochalien,n
sochalien,adj
sociabilité,n
sociable,
social,adj n
social-démocrate (page does not exist),
social-démocratie (page does not exist),
sociale,
socialement,adv
socialisant,adj
socialisation,n
socialiser,v
socialisme,n
socialisme démocratique,n
socialiste,n adj
socialité,n
socialo,adj n
sociétaire,adj n
sociétal,adj
sociétariat (page does not exist),
société,n
Société Anonyme,n
société à responsabilité limitée (page does not exist),
société d'assurance (page does not exist),
Société des Nations (page does not exist),
société faîtière (page does not exist),
société mère (page does not exist),
société par actions (page does not exist),
Société publique avec responsabilité limitée (page does not exist),
sociétisme (page does not exist),
Socinien,n
socinien (page does not exist),
socinienne (page does not exist),
socioculturel,adj
sociodicée,n
sociogramme (page does not exist),
sociolinguistique,
sociologie,n
sociologique,adj
sociologiquement,adv
sociologue,n
sociométrie,n
sociométrique (page does not exist),
socket,
socle,n
socque,
socquette,n
Socrate,proper
soda,n
sodalité,n
sodium,n
Sodome,proper
sodomie,n
sodomiser,v
sodomiste,
sœur,n
sœur aîné (page does not exist),
sœur de sang (page does not exist),
sœur-épouse (page does not exist),
sœur siamois (page does not exist),
sœur siamoise (page does not exist),
sœurette,n
sofa,n
soffite,n
Sofia,proper
soft,n adj
softball,
Sogdiane (page does not exist),
soi,pronoun
soi-disant,adj adv
soi-même,pronoun
soie,n
soie dentaire,n
soif,n
soif de sang (page does not exist),
soignant,n
soigné,adj v
soigner,v
soigneuse,
soigneusement,adv
soigneux,adj
soin,n
soins intensifs (page does not exist),
soir,n
soirée,n
Soirée familiale (page does not exist),
soirée pyjama,n
soirée unique (page does not exist),
sois loyal envers toi-même (page does not exist),
sois prêt (page does not exist),
sois prête (page does not exist),
soit,conj adv
soit dit en passant (page does not exist),
soixantaine,n
soixante,n num
soixante-cinq,n
soixante-deux,
soixante-dix,num
soixante-dix-huit,
soixante-dixième,
soixante-dix-neuf,
soixante-dix-sept,
soixante-douze,
soixante et onze (page does not exist),
soixante et onzième (page does not exist),
soixante et un,num
soixante-et-un,
soixante-huit,
soixante-neuf,num n
soixante-quatorze,
soixante-quatre,
soixante-quinze,
soixante-sept,
soixante-six,
soixante-treize,
soixante-trois,
soixantième,adj n
soja,n
sol,n
sol meunière (page does not exist),
solaire,adj
Solange,proper
solanine,
solariser,v
solarium,n
soldanelle,n
soldat,n
soldat de première classe (page does not exist),
soldatesque,adj n
solde,n
solder,v
soldes,
soldure (page does not exist),
sole,n
solécisme,n
soleil,n
Soleil,
Solène,proper
Solenn,proper
Solenne,proper
solennel,adj
solennelle,
solennellement,adv
solenniser,v
solennité,n
solénoïde,n
Soleure (page does not exist),
solfatare,n
solianka (page does not exist),
solidaire,adj
solidarité,n
solide,adj n
solidement,adv
solidification,n
solidifier,v
solidité,n
soliloque,n
solipède,n
solipsisme,n
soliste,n
solitaire,adj
soliton,
solitude,n
solive,n
solivure (page does not exist),
sollicitation,
solliciter,v
sollicitude,n
solluble (page does not exist),
solo,
solstice,n
solstice d'été,
solstice d'hiver,
solubilité,n
soluble,
solution,n
solution de continuité (page does not exist),
solution finale,n
solution molaire (page does not exist),
solution physiologique,n
solution tampon (page does not exist),
solutionner,v
solutréen,adj
solvabilité,n
solvable,adj
solvant,
somali,
Somalie,proper
somalien,adj n
Somalien,n
Somalienne,
somatique,adj
somatiser,v
sombre,adj v
sombrer,v
sombréro,n
sombreur (page does not exist),
sommable,adj
sommaire,n
sommairement,
sommation,n
Somme,proper
somme,n
somme de contrôle (page does not exist),
somme de Murasugi (page does not exist),
somme forfaitaire (page does not exist),
somme vide (page does not exist),
sommeil,n
sommeil réparateur (page does not exist),
sommeiller,v
sommelier,n
sommer,v
sommet,n
sommet de l'iceberg (page does not exist),
sommier,adj
Sommier,n
sommité,n
somnambule,
somnambuler (page does not exist),
somnambulisme,n
somnifère,adj n
somnolence,n
somnolent,adj
somnoler,v
somnologie (page does not exist),
somnologue (page does not exist),
somptueux,adj
somptuosité,
son,n adj
Son Altesse,proper
Son Altesse royale,proper
Son Altesse Royale (page does not exist),
Son Excellence,proper
sonagramme,
sonar,
sonate,n
sonatine,
sondage,n
sondage d'opinion (page does not exist),
sondage sortie des urnes (page does not exist),
sonde,n
sonde spatiale (page does not exist),
sonder,v
Sondrio,proper
songe,n
songeait,v
songeant,v
songer,v
songerie,n
songeur,n
Sonia,proper
sonique,adj
sonner,v
sonnerie,n
sonnerie de téléphone (page does not exist),
sonnet,n
sonnette,n
sono,n
sonore,adj n
sonorisation,
sonorité,n
sonsorolais,n
Sophie,proper
sophisme,
sophistication,
sophistiqué,adj
sophistiquer,v
Sophocle,proper
Sophonie (page does not exist),
sophrologique (page does not exist),
sophrologue,n
soporifique,adj n
s'opposer (page does not exist),
soprane,
s'optimiser (page does not exist),
sorabe,
sorbet,n
sorbetière,n
sorbier,n
sorbier des oiseleurs,n
sorbitol,n
sorcellerie,n
sorcier,n
sorcière,n
sordide,
sorgho,n
sorgo,
Sorlingues,
sororal,
sororel,adj
sororité,n
sort,n
sortant,
sorte,n
sortie,n
sortie de bain,n
sortie de capitaux (page does not exist),
sortie de route,n
sortie des artistes (page does not exist),
sortie de secours,n
sortie scolaire (page does not exist),
sortilège,n
sortir,v n
sortir avec (page does not exist),
sortir de l'ordinaire (page does not exist),
sortir de ses gonds (page does not exist),
sortis,v
SOS,
sosie,n
Sosthène,proper
sot,adj n
sot-l’y-laisse,n
Sotchi,
sottise,n
sottisier,n
sotto-voce (page does not exist),
sou,n
Souabe,proper
souabe,adj n
soubassophone,n
soubresaut,
soubrette,n
souche,n
souci,n
souciant,adj
soucier,
soucieux,adj
soucoupe,n
soucoupe volante,n
soudage,n
soudain,adj adv
soudaine,
soudainement,adv
soudaineté,
Soudan,proper
soudan,
Soudanais,n
soudanais,adj
Soudanaise,
soude,n
soude caustique (page does not exist),
souder,v
soudeur,n
soudeuse,n
soudjouk,
soudoyer,
soudure,n
souffert,v
soufflant en rafales (page does not exist),
souffle,n
soufflé,
souffler,v
soufflerie,n
soufflet,n
souffleter,v
souffleur,n
souffleur de verre (page does not exist),
souffleuse,n
souffleuse à neige,n
souffleuse de verre (page does not exist),
soufflure (page does not exist),
souffrance,n
souffre-douleur,n
souffrir,v
soufi,n
soufisme,n
soufre,n
soufré,adj
soufrer,v
souhait,n
souhaitable,adj
souhaiter,v
souhaiter la bienvenue (page does not exist),
souillé,
souiller,v
souillure,n
souk,n
Soukhoumi (page does not exist),
soukoun,n
soul,adj n
soulagement,n
soulagement comique (page does not exist),
soulager,v
soulagien,adj
soulard,
soûlard,n
souler,v
souleur,n
soulèvement,n
soulever,v
soulier,n
soulignement,
souligner,v
soûlographie,n
soumettre,v
soumettre à un examen radiographique (page does not exist),
soumis,adj
soumission,n
soumissionnaire (page does not exist),
soumissionner,
soundscape,
soupape,n
soupape comique (page does not exist),
soupape de sécurité,n
soupçon,n
soupçonnable,adj
soupçonner,v
soupçonneux,adj
soupe,n
soupe à l'oignon (page does not exist),
soupe aux ailerons de requins (page does not exist),
soupe de poisson (page does not exist),
soupe de poulet (page does not exist),
soupe populaire,n
souper,n v
soupeser,v
soupière,n
soupir,n
soupirail,n
soupirant,n
soupirer,v
souple,adj
souplesse,n
sourate,n
source,n
source lumineuse (page does not exist),
sources,
sourcier,n
sourcil,n
sourcilleux,adj
sourd,adj n
sourd comme un pot,
sourde,
sourde comme un pot,
sourdement,
sourdine,n
souriant,adj
souriceau,n
souricier (page does not exist),
souricière,n
sourire,n v
sourire à manger de la merde (page does not exist),
sourire en coin (page does not exist),
souris,n
souris des bois (page does not exist),
sournois,adj
sournoiserie,
sous,prep
sous-,prefix
sous-alimenter,v
sous-bois,n
sous-catégorie (page does not exist),
sous-chapitre,n
sous-chef,n
sous-chlorure (page does not exist),
sous-classer,v
sous-comité,n
sous-continent,n
sous contrat (page does not exist),
sous-couche,
sous-cul (page does not exist),
sous-cutal (page does not exist),
sous-cutale (page does not exist),
sous-cutané (page does not exist),
sous-diacre (page does not exist),
sous-ensemble (page does not exist),
sous-entendre,v
sous-entendu,adj n
sous-entendue,
sous-espace propre (page does not exist),
sous-espèce,n
sous-estimé,
sous-estimer,v
sous-exposer,v
sous-famille,n
sous-groupe,n
sous-groupe distingué (page does not exist),
sous-homme (page does not exist),
sous-jacent,adj
sous la main (page does not exist),
sous lequel (page does not exist),
sous le vent (page does not exist),
sous-louer,v
sous-marin,n adj
sous-marinier,n
sous-officier,n
sous-page,n
sous-payé,adj
sous peine de,prep
sous-pied,n
sous-porteuse (page does not exist),
sous-préfecture (page does not exist),
sous-produit,n
sous-programme (page does not exist),
sous-routine (page does not exist),
sous-section,n
sous-sol,n
sous-système,n
sous-système radio (page does not exist),
sous-système réseau (page does not exist),
sous-sytème (page does not exist),
sous-tasse (page does not exist),
sous-tendre,
sous-titrage,n
sous-titre,n
sous-titré,adj
sous-total,n
sous-traitant,n
sous-utilisation,n
sous-verre,
sous-vêtement,n
sous-vêtements,n
souscription,n
souscrire,v
soussigné,adj
soustraction,n
soustraire,v
soutane,n
soute,n
soutenabilité,n
soutenable,adj
souteneur,n
soutenir,v
soutenu,adj
souterrain,adj n
souterraine,
soutien,n
soutien de famille (page does not exist),
soutien-gorge,n
soutien-gorge ampliforme (page does not exist),
soutien-gorge d'allaitement (page does not exist),
soutient,
soutif,n
soutirer,
souvenir,v n
souvent,adv
souverain,adj n
souverainement,adv
souveraineté,n
souverainiste,n adj
souveraintiste,n
soviet,
Soviet suprême (page does not exist),
Soviétique,n
soviétique,adj
sovkhoze,n
sovkhozien (page does not exist),
soyeux,adj
soyez tout ouïe (page does not exist),
Soyouz (page does not exist),
La Spezia,
spacieux,adj
spadassin,n
spaghetti,n
spaghettis,n
spahi,n
spallation,n
spam,n
spamdexing,
spammeur,n
sparadrap,n
Sparte,proper
spartiate,adj
Spartiate (page does not exist),
spasme,n
spasmodique,adj
spasmophilie,n
spath,n
spathifier,v
spatial,
spationaute,n
spatule,n
SPCUM,init
speaker,
speakerin,n
speakerine,n
spécial,adj
spécialement,adv
spécialisation,n
spécialiser,v
spécialiste,n
spécialité,n
spécieuse,
spécieux,
spécification,n
spécificité,n
spécifier,v
spécifique,adj n
spécifiquement,adv
spécimen,n
spéciosité (page does not exist),
spectacle,n
spectaculaire,adj
spectaculairement,
spectateur,n
spectatrice,n
spectral,
spectre,n
spectrogramme (page does not exist),
spectrographie,n
spectrométrie neutronique (page does not exist),
spectroscopie,n
spéculateur,adj n
spéculatif,adj
spéculation,n
spéculativement,adv
spéculer,v
spéculoos,n
spéléologie,n
spéléologique,adj
spéléologue,n
spermatogramme (page does not exist),
spermatozoïde,n
sperme,n
spermogramme (page does not exist),
spermophile à mante dorée des Cascades,n
sphaigne,n
sphénoïde,adj
sphère,n
sphère armillaire,n
sphère céleste (page does not exist),
sphère d'influence (page does not exist),
sphérique,adj
sphincter,
Sphinx,
sphinx,
sphygmogramme (page does not exist),
Sphynx,
spi,n
spic,n
spicule,
spinosauridé,n
spirale,n
spiraler,v
spire,n
spiritisme,
spiritualité,n
spirituel,adj
spirituelle,
spirituellement,adv
spiritueux,
Spirographe (page does not exist),
Spitsberg (page does not exist),
Spitzberg,proper
spiure (page does not exist),
splash-and-dash,n
spleen,n
splendeur,n
splendide,adj
splénétique (page does not exist),
splénique,
splif,n
Split,
SPM,init
spoiler,
spolier,v
spongieux,
sponsor,n
sponsoring,n
sponsorisation (page does not exist),
sponsoriser,v
spontané,adj
spontanéité,n
spontanément,adv
spoofer,
Sporades,
sporadique,
sporange,n
spore,
sport,n
sport d'hiver (page does not exist),
sport extrême (page does not exist),
sportif,adj n
sportive,n
sportivité,
sportswoman,
spot,n
spouse,
spoutnik,n
sprat,
sprinkleur (page does not exist),
sprint,n
sprinter,n v
sprinteur,n
SPRL (page does not exist),
SPVM,init
SQ,init
squale,n
squale liche (page does not exist),
squalelet,n
squalelet dentu (page does not exist),
squalelet féroce (page does not exist),
squame,
squameux,adj
squamosal,
square,n
squash,n
squasheur,n
squat,n
squatine,n
squattage,
squatter,v
squattériser,v
squatteur,n
squaw,n
squelette,n
squelettique,adj
squille,n
squirrhe,n
SRAS (page does not exist),
SRB,
SRC,init
Sri Jayawardenapura (page does not exist),
Sri Lanka,
Sri-Lankais,n
sri-lankais,adj
S.R.L. (page does not exist),
ssi,
ST,init
STA,init
stabilisation,n
stabiliser,v
stabilité,n
stable,adj
stade,n
staff,n
staffer,v
staffeur (page does not exist),
stage,n
stagflation,n
Stagiaire (page does not exist),
stagiaire,adj n
stagnant,adj
stagnation,
stagner,v
stainless steel,
stalactite,
stalagmite,
Staline,proper
stalinien,adj
stalinisme,
staliniste,adj n
stand,
standard,adj
standing,n
standing ovation,
Stanislas,proper
stannique (page does not exist),
stapes,n
staphisaigre (page does not exist),
staphylome (page does not exist),
star,n
star de cinéma (page does not exist),
starifier,
starisation,n
stariser,v
starlette,n
stase,n
statagème (page does not exist),
statère,n
station,n
station à essence (page does not exist),
station balnéaire (page does not exist),
station d'accueil,n
station de radio,n
station de ski (page does not exist),
station d’essence (page does not exist),
station de télévision (page does not exist),
station essence,n
station mobile,n
station-service,n
station service (page does not exist),
station spatiale,n
stationment,n
stationnaire,adj
stationnement,n
stationnement interdit (page does not exist),
stationner,v
statique,adj
statisticien,n
statistique,adj n
statistiques,n
statu quo,n
statue,
statue de la Liberté,proper
statuer,v
statuesque,
statuquo,n
statut,n
statutaire,adj
STCUM,init
Ste.,abbr
steak,
steak au poivre,
steamé,adj n
stéganographie,n
stégosaure,n
stèle,n
stellaire,adj n
stellifier,v
stemmatique (page does not exist),
sténo,n
sténodactylographie,n
sténogramme,
sténographe,
sténographie,n
sténophage (page does not exist),
sténose,n
Stéphane,proper
Stéphanie,proper
stéphanois,adj
steppe,
stéradian,n
stère,n
stéréo,adj
stéréo- (page does not exist),
stéréogramme (page does not exist),
stéréographie,n
stéréolithographie (page does not exist),
stéréophonie,n
stéréotomie,n
stéréotype,n
stéréotyper,v
stérer,v
stérile,adj
stérilement,adv
stérilet,n
stérilisation,n
stériliser,v
sternal,
sterne,n
sterne caugek,n
sternum,n
stéroïde,
stertoreux,
stéthoscope,n
stetl (page does not exist),
stevedore,
Stévia or Stévie (page does not exist),
stévie (page does not exist),
steward,n
STF,init
stibiure (page does not exist),
stictonette tachetée (page does not exist),
stigma,n
stigmate,n
stigmatique,adj
stigmatisation,n
stigmatisé,adj n
stigmatiser,v
stigmatisme,n
stigmergie,n
stimulant,n adj
stimulante,
stimulantes,
stimulants,
stimulateur,
stimulateur cardiaque (page does not exist),
stimuler,v
stipule,
stipuler,v
STM,init
stochastique,adj
stock,n
stockage,n
stocker,v
Stockholm,proper
stœchiométrie,
stœchiométrique,
stoïcisme,n
stoïque,n adj
stoïquement,adv
stomacal,n
stomate,n
stompbox,
stool,n
stooleux (page does not exist),
stop,n
stoplait (page does not exist),
stopper,v
stoppeur,n
store,n
store vénitien (page does not exist),
strabisme,n
stras (page does not exist),
Strasbourg,
Strasbourgeois,n
strasbourgeois,
strass,n
stratagème,n
strate,n
stratège,
strategie,
stratégie,n
stratégique,adj
stratégiquement,adv
stratification,
stratifié,
stratifier,v
stratigraphe (page does not exist),
stratigraphie,n
stratigraphique,adj
stratovolcan (page does not exist),
stratum,
streptocoque,n
stress,n
stressant,
stresse,
stressé,
stresser,v
strette,n
strict,adj
strictement,adv
strictement négatif,adj
strictement positif,adj
stridence,
strident,adj
strike,
string,n
strip,
strip-teaseuse,n
striptease,n
stripteaseur,n
stripteaseuse,
striure,
strobophotographie,n
strontium,n
strophe,n
structural,
structuralisme,
structuraliste,
structurant,adj
structuration,
structure,n
structure algébrique (page does not exist),
structure sonate (page does not exist),
structurel,adj
structurellement,
structurer,v
strucurellement (page does not exist),adv
strychnine,
stryge,n
stuc,n
stucage,n
stucateur,n
stud,n
studieux,adj
studio,n
studio d'enregistrement,n
stupa,
stûpa (page does not exist),
stupéfaction,n
stupéfait,adj
stupéfiant,adj n
stupéfié,
stupéfier,v
stupeur,n
stupide,adj
stupidement,adv
stupidité,n
stupidous princessus (page does not exist),
stuquer (page does not exist),
sturnelle (page does not exist),
Stuttgart,
style,n
style 1900 (page does not exist),
style nouille (page does not exist),
stylet,
styliste,
stylistique,n adj
stylo,n
stylo à bille,n
stylo-gomme (page does not exist),
stylo-plume,n
stylographe,n
styromousse,n
de la suite de (page does not exist),
de surcroît,
su,v
suage,n
suaire,n
suave,
suavement,adv
suavité,n
sub-,prefix
sub-saharien (page does not exist),
subaigu,adj
subalpin,adj
subalterne,adj
subantarctique,adj
subconscience,n
subconscient,adj n
subdésertique,adj
subérate,
subérine,
subir,v
subit,adj
subitement,adv
subjectif,adj
subjective,
subjectivité,n
subjonctif,n
subjugué par (page does not exist),
subjuguer,v
sublatif,n
sublimation,n
sublime,adj
Sublime Porte,proper
sublimer,v
sublingual,
submerger,v
submersible,adj n
submission,
subodorer,v
subordination,n
subordonné,adj n
subordonnée,n
subordonnées,
subordonnés,
suborner,v
subreptice,
subrepticement,adv
subsaharien,adj
subside,n
subsidiaire,adj
subsidiairement,
subsidiarité,
subsistance,n
subsister,v
substance,n
substantiel,adj
substantiellement,adv
substantif,adj n
substantif verbal (page does not exist),
substantifier (page does not exist),
substantivateur (page does not exist),
substantivation,n
substantive,
substantivé,adj
substantivement,adv
substantiver,v
substituer,v
substitut,n
substitute,
substrat,n
substructure,
subsumer,v
subterfuge,
subtil,adj
subtilement,adv
subtiliser,v
subtilité,n
subtropicales,
suburbain,adj
subvenir,v
subvention,
subventionner,v
subversif,adj
subversion,n
subversivement,adv
subwoofer,
suc,n
suc gastrique,n
succédané,
succéder,v
succès,n
successeur,n
successif,adj
succession,n
successivement,adv
succint,
succion,n
succomber,v
succulence,
succulent,
succulente,n
succursale,n
suce,
sucer,v
sucer la pomme (page does not exist),
sucette,n
sucette glacée (page does not exist),
suçon,n
sucre,n
sucré,adj
sucre à canne (page does not exist),
sucre bâtard (page does not exist),
sucre blanc,n
sucre candi (page does not exist),
sucre de canne,n
sucre d'orge,n
sucre d’orge (page does not exist),
sucre en poudre,n
sucre glace (page does not exist),
sucre inverti (page does not exist),
sucre volant (page does not exist),
sucrer,v
sucrerie,n
sucreries,
sucrier,adj n
sud,n
Sud-Africain,n
sud-africain,adj
sud-africaine,
Sud-Africaine,
sud-américain,adj
Sud-américain (page does not exist),
sud-américaine,
Sud-américaine (page does not exist),
Sud-Coréen,n
sud-coréen,adj
Sud-Coréenne,
sud-est,n
sud-est-quart-est,n
sud-est-quart-sud,n
Sud-Katanga (page does not exist),
sud-ouest,n
sud-ouest-quart-ouest,n
sud-ouest-quart-sud,n
sud-quart-sud-est,n
sud-quart-sud-ouest,n
Sud-Soudan (page does not exist),
sud-sud-est,n
sud-sud-ouest,n
sudaméricain,adj
sudatoire (page does not exist),
Sudètes (page does not exist),
sudoku,n
Suède,proper
suède,n
suédois,n adj
Suédois,n
suédoise,
Suédoise,
suédophone,adj n
suée,
suer,v
suette,n
sueur,n
Suez,
suffire,v
suffisamment,adv
suffisance,n
suffisant,adj
suffit,v
suffixation,
suffixe,n
suffixe possessif (page does not exist),
suffixer,v
suffocation,
suffoquer,v
suffrage,
sufisme (page does not exist),
suggérer,v
suggestif,adj
suggestion,n
suggestivement (page does not exist),
suicidaire,adj n
suicidalité,n
suicide,
suicidé,n
suicide assisté (page does not exist),
suicide-party (page does not exist),
suicidée,n
suicider,v
suie,n
suif,n
suintement,n
suinter,v
suinter, sécréter (page does not exist),
suis,
suisse,adj n
Suisse,n proper
Suisse alémanique (page does not exist),
Suissesse,n
suite,n
suite à,prep
suivant,adj
suiveur,n
suivi,n
suivre,v
suivre quelqu'un comme son ombre (page does not exist),
sujet,adj n
Sulawesi,
sulcature,
sulfarséniure (page does not exist),
sulfoborure (page does not exist),
sulfochlorure,
sulfoséléniure,
sulfure,
sulfure d'hydrogène (page does not exist),
sultan,n
sultanat,n
sumac,
sumac vénéneux (page does not exist),
Sumatra,
Sumer,proper
Sumérien,n
sumérien,adj n
sumo,
sunnisme,n
sunnite,
super,adj int v
super-,prefix
super-extra (page does not exist),
super-héros,n
super-vilain,n
superacide,n
Superamas Local (page does not exist),
superbe,adj
superbement,adv
supercalifragilisticexpidelilicieux (page does not exist),adj
supercellulaire (page does not exist),
supercellule,n
supercentenaire,n
supercherie,n
superessif,n
supérette,n
superfécondation,
superfemme (page does not exist),
superfétation,
superfétatoire,
superficie,n
superficiel,adj
superficiellement,adv
superflu,adj
supergéant (page does not exist),
supergéante bleue (page does not exist),
supérieur,adj n
supériorité,n
superlatif,adj n
superlatif absolu (page does not exist),
superlatif relatif (page does not exist),
superman,
Superman,
supermarché,n
supernormal,
supernova,
superordinateur,n
superordre,
superposer,v
superpouvoir,n
superpuissance,n
supersonique,adj
superstar,
superstitieuse,
superstitieux,adj
superstition,
superstructure,
supersymétrie,n
superviser,v
superviseur,n
supervision,
superwoman,
supin,n
supplanter,v
suppléant,
suppléante,
suppléer,v
supplément,n
supplémentaire,adj
suppliant,
supplice,n
supplice du pneu (page does not exist),
supplicié,adj n
supplicier,v
supplier,v
support,n
supporter,v n
supporteur,n
supporteuse,n
supposé,
supposément,
supposer,v
supposition,
suppositoire,n
suppôt,n
suppression,n
supprimer,v
suppuratif,adj
suppurer,v
supputation,n
supputer,v
supraconductivité,n
supraluminique,adj
supranational,
supraterrestre,
suprémacisme,n
suprématie,n
suprématie blanche (page does not exist),
suprême,adj
suprêmement,
sur,prep adj
sûr,adj
sur appel (page does not exist),
sur-apprendre (page does not exist),
sur ces entrefaites (page does not exist),
sur commande (page does not exist),
sur cul (page does not exist),
sur-ensemble (page does not exist),
sur la même longueur d'onde,phrase
sur la pointe des pieds,adv
sur l'arrière (page does not exist),
sur l'arrière de (page does not exist),
sur la sellette,adv
sur le billard,phrase
sur le bout de la langue,adj
sur le bout des doigts (page does not exist),
sur le champ,adv
sur-le-champ,adv
sur le cul,adj
sur le fil,adv
sur le plat (page does not exist),
sur le point,prep
sur le point de,
sur le pont (page does not exist),
sur les traces de (page does not exist),
sur place,adv
sur ses grands chevaux,phrase
sur son lit de mort (page does not exist),
sur son trente et un,
surabondance,
surabonder,v
suralimenter,v
surapprendre (page does not exist),
surbaisé,adj
surbaissé,adj
surbaisser,v
surbooker,v
surbooking,n
surboum,n
surcapacité,n
surcapitaliser,
surchargé,
surchauffe,n
surchauffer,v
surchauffure (page does not exist),
surclasser,v
surcot,n
surcouche,n
surcouper,
surcoût,n
surcroît,n
surcuire,v
surdéterminé (page does not exist),
surdimensionné,adj
surdité,n
surdoté,adj
surdoué,adj n
sûre,
sureau,n
